bin    Ex    Popul.    J= 0.0    J= 1.0    J= 2.0    J= 3.0    J= 4.0    J= 5.0    J= 6.0    J= 7.0    J= 8.0    J= 9.0

  39   2.207 8.321E-02 1.639E-03 1.029E-02 1.491E-02 1.108E-02 4.959E-03 2.032E-03 8.138E-05 1.774E-05 1.098E-07 2.226E-09 0 0 0 0 0 0 0 0 0 0 0 0 0
  40   2.289 9.587E-02 1.882E-03 1.182E-02 1.716E-02 1.278E-02 5.736E-03 2.358E-03 9.502E-05 2.079E-05 1.298E-07 2.647E-09 0 0 0 0 0 0 0 0 0 0 0 0 0
  41   2.375 1.109E-01 2.169E-03 1.364E-02 1.982E-02 1.479E-02 6.662E-03 2.748E-03 1.113E-04 2.445E-05 1.538E-07 3.158E-09 0 0 0 0 0 0 0 0 0 0 0 0 0
  42   2.463 1.288E-01 2.511E-03 1.580E-02 2.300E-02 1.720E-02 7.769E-03 3.216E-03 1.307E-04 2.890E-05 1.825E-07 3.781E-09 0 0 0 0 0 0 0 0 0 0 0 0 0
  43   2.555 1.502E-01 2.921E-03 1.839E-02 2.680E-02 2.009E-02 9.099E-03 3.783E-03 1.541E-04 3.430E-05 2.170E-07 4.543E-09 0 0 0 0 0 0 0 0 0 0 0 0 0
  44   2.651 1.760E-01 3.413E-03 2.150E-02 3.138E-02 2.358E-02 1.070E-02 4.471E-03 1.823E-04 4.091E-05 2.586E-07 5.480E-09 0 0 0 0 0 0 0 0 0 0 0 0 0
  45   2.750 2.072E-01 4.008E-03 2.527E-02 3.692E-02 2.780E-02 1.265E-02 5.311E-03 2.163E-04 4.905E-05 3.087E-07 6.634E-09 0 0 0 0 0 0 0 0 0 0 0 0 0
  46   2.852 2.451E-01 4.731E-03 2.984E-02 4.366E-02 3.294E-02 1.503E-02 6.343E-03 2.578E-04 5.910E-05 3.694E-07 8.061E-09 0 0 0 0 0 0 0 0 0 0 0 0 0
  47   2.959 2.914E-01 5.614E-03 3.544E-02 5.190E-02 3.925E-02 1.795E-02 7.619E-03 3.084E-04 7.161E-05 4.430E-07 9.831E-09 0 0 0 0 0 0 0 0 0 0 0 0 0
  48   3.069 3.484E-01 6.700E-03 4.232E-02 6.204E-02 4.702E-02 2.156E-02 9.205E-03 3.705E-04 8.726E-05 5.325E-07 1.203E-08 0 0 0 0 0 0 0 0 0 0 0 0 0
